지점,지점명,일시,평균기온(°C)
12,안면도(감),2015-01,.3
12,안면도(감),2015-02,1.4
12,안면도(감),2015-03,4.8
12,안면도(감),2015-04,11.1
12,안면도(감),2015-05,15
12,안면도(감),2015-06,19.6
12,안면도(감),2015-07,22.8
12,안면도(감),2015-08,24.3
12,안면도(감),2015-09,20.9
12,안면도(감),2015-10,15.9
12,안면도(감),2015-11,10.5
12,안면도(감),2015-12,4.2
12,안면도(감),2016-01,-.5
12,안면도(감),2016-02,1.6
12,안면도(감),2016-03,5.7
12,안면도(감),2016-04,10.8
12,안면도(감),2016-05,16.1
12,안면도(감),2016-06,20.1
12,안면도(감),2016-07,24.2
12,안면도(감),2016-08,25.9
12,안면도(감),2016-09,21.9
12,안면도(감),2016-10,16.3
12,안면도(감),2016-11,9.1
12,안면도(감),2016-12,4.4
12,안면도(감),2017-01,1.3
12,안면도(감),2017-02,1.4
12,안면도(감),2017-03,5.3
12,안면도(감),2017-04,11.1
12,안면도(감),2017-05,16.5
12,안면도(감),2017-06,20.2
12,안면도(감),2017-07,25.3
12,안면도(감),2017-08,25.6
12,안면도(감),2017-09,21.6
12,안면도(감),2017-10,16.1
12,안면도(감),2017-11,8.1
12,안면도(감),2017-12,1.6
12,안면도(감),2018-01,-1.3
12,안면도(감),2018-02,-.1
12,안면도(감),2018-03,6.8
12,안면도(감),2018-04,11.2
12,안면도(감),2018-05,15.7
12,안면도(감),2018-06,19.7
12,안면도(감),2018-07,25.3
12,안면도(감),2018-08,26.6
12,안면도(감),2018-09,21.3
12,안면도(감),2018-10,14.7
12,안면도(감),2018-11,9.9
12,안면도(감),2018-12,2.2
12,안면도(감),2019-01,1.3
12,안면도(감),2019-02,1.7
12,안면도(감),2019-03,6.1
12,안면도(감),2019-04,10.4
12,안면도(감),2019-05,15.8
12,안면도(감),2019-06,19.2
12,안면도(감),2019-07,23.3
12,안면도(감),2019-08,26.2
12,안면도(감),2019-09,22.2
12,안면도(감),2019-10,17.2
12,안면도(감),2019-11,10.4
12,안면도(감),2019-12,4.4
96,독도,2015-01,4.5
96,독도,2015-02,4.2
96,독도,2015-03,7
96,독도,2015-04,10.7
96,독도,2015-05,16
96,독도,2015-06,19
96,독도,2015-07,21.2
96,독도,2015-09,20.2
96,독도,2015-10,17.2
96,독도,2015-11,12.6
96,독도,2015-12,7.6
96,독도,2016-01,3.7
96,독도,2016-02,4.3
96,독도,2016-03,7.9
96,독도,2016-05,16.5
96,독도,2016-06,20.3
96,독도,2016-07,22.2
96,독도,2016-08,25.4
96,독도,2016-09,21.2
96,독도,2016-10,17
96,독도,2016-11,11.2
96,독도,2016-12,7.8
96,독도,2017-01,4.7
96,독도,2017-02,4.5
96,독도,2017-03,7.1
96,독도,2017-04,11.7
96,독도,2017-05,15.7
96,독도,2017-06,18.2
96,독도,2017-07,23
96,독도,2017-08,24.9
96,독도,2017-09,21.9
96,독도,2017-10,16.8
96,독도,2017-11,11.2
96,독도,2017-12,4.6
96,독도,2018-01,2.6
96,독도,2018-02,2.6
96,독도,2018-03,6.6
96,독도,2018-06,18.8
96,독도,2018-07,23.9
96,독도,2018-09,21.5
96,독도,2018-10,16.7
96,독도,2018-11,12.7
96,독도,2018-12,6.7
96,독도,2019-01,5.6
96,독도,2019-02,5.9
96,독도,2019-03,8.9
96,독도,2019-04,10.8
96,독도,2019-05,16.6
96,독도,2019-06,18
96,독도,2019-07,22.3
96,독도,2019-08,25.4
96,독도,2019-09,22.2
96,독도,2019-10,17.6
96,독도,2019-11,12.2
96,독도,2019-12,8.2
116,관악(레),2015-01,-3.5
116,관악(레),2015-02,-2.1
116,관악(레),2015-03,3.5
116,관악(레),2015-04,10.2
116,관악(레),2015-05,16.1
116,관악(레),2015-06,19.7
116,관악(레),2015-07,21.6
116,관악(레),2015-08,22
116,관악(레),2015-09,18.4
116,관악(레),2015-10,12.4
116,관악(레),2015-11,5.9
116,관악(레),2015-12,-.7
116,관악(레),2016-01,-6.2
116,관악(레),2016-02,-2.8
116,관악(레),2016-03,3.7
116,관악(레),2016-04,11.2
116,관악(레),2016-05,16.3
116,관악(레),2016-06,19.6
116,관악(레),2016-07,22.2
116,관악(레),2016-08,23.8
116,관악(레),2016-09,19.1
116,관악(레),2016-10,12.7
116,관악(레),2016-11,3.8
116,관악(레),2016-12,-1.2
116,관악(레),2017-02,-3.7
116,관악(레),2017-03,2.6
116,관악(레),2017-04,9.8
116,관악(레),2017-05,15
116,관악(레),2017-06,18.8
116,관악(레),2017-07,22.4
116,관악(레),2017-08,21.3
116,관악(레),2017-09,17.7
116,관악(레),2017-10,11.9
116,관악(레),2017-11,2.2
116,관악(레),2017-12,-5.7
116,관악(레),2018-01,-7.7
116,관악(레),2018-02,-5.6
116,관악(레),2018-03,4.3
116,관악(레),2018-04,9.3
116,관악(레),2018-05,14
116,관악(레),2018-06,18.8
116,관악(레),2018-07,23
116,관악(레),2018-08,23.7
116,관악(레),2018-09,16.8
116,관악(레),2018-10,9.6
116,관악(레),2018-11,5.1
116,관악(레),2018-12,-4
116,관악(레),2019-01,-4.6
116,관악(레),2019-02,-2.7
116,관악(레),2019-03,3.1
116,관악(레),2019-04,8.2
116,관악(레),2019-05,15.7
116,관악(레),2019-06,18
116,관악(레),2019-07,21.1
116,관악(레),2019-08,22.7
116,관악(레),2019-09,18.5
116,관악(레),2019-10,12.5
116,관악(레),2019-11,4.9
116,관악(레),2019-12,-1.5
160,부산(레),2015-01,.6
160,부산(레),2015-02,1.2
160,부산(레),2015-03,5.7
160,부산(레),2015-04,10.6
160,부산(레),2015-05,16.5
160,부산(레),2015-06,17.6
160,부산(레),2015-07,20.5
160,부산(레),2015-08,22.1
160,부산(레),2015-09,17.8
160,부산(레),2015-10,13.9
160,부산(레),2015-11,9.7
160,부산(레),2015-12,4
160,부산(레),2016-01,-1.1
160,부산(레),2016-02,1.2
160,부산(레),2016-03,6
160,부산(레),2016-04,11.8
160,부산(레),2016-05,16.3
160,부산(레),2016-06,18.6
160,부산(레),2016-07,22.2
160,부산(레),2016-08,23.6
160,부산(레),2016-09,19.1
160,부산(레),2016-10,14.9
160,부산(레),2016-11,8.3
160,부산(레),2016-12,3.9
160,부산(레),2017-01,.3
160,부산(레),2017-02,1.6
160,부산(레),2017-03,5.1
160,부산(레),2017-04,12.1
160,부산(레),2017-05,16.5
160,부산(레),2017-06,18.3
160,부산(레),2017-07,23.3
160,부산(레),2017-08,22.9
160,부산(레),2017-09,18.8
160,부산(레),2017-10,14.4
160,부산(레),2017-11,7.5
160,부산(레),2017-12,-.3
160,부산(레),2018-01,-2
160,부산(레),2018-02,-.1
160,부산(레),2018-03,6.6
160,부산(레),2018-04,11.5
160,부산(레),2018-05,15.1
160,부산(레),2018-06,18.7
160,부산(레),2018-07,23.8
160,부산(레),2018-08,24
160,부산(레),2018-09,18.3
160,부산(레),2018-10,12.7
160,부산(레),2018-11,9.2
160,부산(레),2018-12,2
160,부산(레),2019-01,.5
160,부산(레),2019-02,2.7
160,부산(레),2019-03,6.8
160,부산(레),2019-04,10
160,부산(레),2019-05,16.9
160,부산(레),2019-06,18
160,부산(레),2019-07,21.1
160,부산(레),2019-08,23.2
160,부산(레),2019-09,19.5
160,부산(레),2019-10,14.7
160,부산(레),2019-11,9.5
160,부산(레),2019-12,3.5
175,진도(레),2015-01,.3
175,진도(레),2015-02,.5
175,진도(레),2015-03,5.9
175,진도(레),2015-04,10.6
175,진도(레),2015-05,15.7
175,진도(레),2015-06,17.8
175,진도(레),2015-07,21.3
175,진도(레),2015-08,22.1
175,진도(레),2015-09,18.6
175,진도(레),2015-10,14.7
175,진도(레),2015-11,9.3
175,진도(레),2015-12,3.3
175,진도(레),2016-01,-1.1
175,진도(레),2016-02,.8
175,진도(레),2016-03,5.5
175,진도(레),2016-04,12.5
175,진도(레),2016-05,15.8
175,진도(레),2016-06,19
175,진도(레),2016-07,22.9
175,진도(레),2016-08,24.6
175,진도(레),2016-09,20.6
175,진도(레),2016-10,15.3
175,진도(레),2016-11,8.4
175,진도(레),2016-12,3.8
175,진도(레),2017-01,1
175,진도(레),2017-02,1.1
175,진도(레),2017-03,5.3
175,진도(레),2017-05,16.9
175,진도(레),2017-06,19.5
175,진도(레),2017-07,24.9
175,진도(레),2017-08,24.3
175,진도(레),2017-09,19.8
175,진도(레),2017-10,14.7
175,진도(레),2017-11,7.5
175,진도(레),2017-12,.9
175,진도(레),2018-01,-1.5
175,진도(레),2018-02,-.3
175,진도(레),2018-03,7.6
175,진도(레),2018-04,12.4
175,진도(레),2018-05,16.2
175,진도(레),2018-06,20.1
175,진도(레),2018-07,24.6
175,진도(레),2018-08,25.2
175,진도(레),2018-09,19.3
175,진도(레),2018-10,12.9
175,진도(레),2018-11,9
175,진도(레),2018-12,1.4
175,진도(레),2019-01,-.3
175,진도(레),2019-02,1
175,진도(레),2019-03,5.8
175,진도(레),2019-04,10.2
175,진도(레),2019-05,16.3
175,진도(레),2019-06,18.6
175,진도(레),2019-07,21.6
175,진도(레),2019-08,23.7
175,진도(레),2019-09,20.2
175,진도(레),2019-10,14.9
175,진도(레),2019-11,9.3
175,진도(레),2019-12,3.4
229,북격렬비도,2015-01,1.6
229,북격렬비도,2015-02,2.3
229,북격렬비도,2015-03,5.2
229,북격렬비도,2015-04,9.9
229,북격렬비도,2015-05,14.4
229,북격렬비도,2015-06,19.4
229,북격렬비도,2015-07,22.4
229,북격렬비도,2015-08,25
229,북격렬비도,2015-09,21.7
229,북격렬비도,2015-10,17
229,북격렬비도,2015-11,11.4
229,북격렬비도,2015-12,5.6
229,북격렬비도,2016-01,.9
229,북격렬비도,2016-02,2.2
229,북격렬비도,2016-03,5.8
229,북격렬비도,2016-04,10.2
229,북격렬비도,2016-05,15.3
229,북격렬비도,2016-06,20.1
229,북격렬비도,2016-07,23.6
229,북격렬비도,2016-08,26.3
229,북격렬비도,2016-09,22.2
229,북격렬비도,2016-10,16.5
229,북격렬비도,2016-11,9.6
229,북격렬비도,2016-12,4.9
229,북격렬비도,2017-01,2.2
229,북격렬비도,2017-02,1.6
229,북격렬비도,2017-03,5.2
229,북격렬비도,2017-04,10.2
229,북격렬비도,2017-05,15.8
229,북격렬비도,2017-06,19.9
229,북격렬비도,2017-07,25.2
229,북격렬비도,2017-08,25.6
229,북격렬비도,2017-09,21.6
229,북격렬비도,2017-11,8.6
229,북격렬비도,2017-12,2.6
229,북격렬비도,2018-01,-.7
229,북격렬비도,2018-02,-.3
229,북격렬비도,2018-03,4.7
229,북격렬비도,2018-04,9.5
229,북격렬비도,2018-05,13.9
229,북격렬비도,2018-06,19.6
229,북격렬비도,2018-07,24.7
229,북격렬비도,2018-08,26.7
229,북격렬비도,2018-09,21.7
229,북격렬비도,2018-10,15.3
229,북격렬비도,2018-12,1.9
229,북격렬비도,2019-01,2
229,북격렬비도,2019-02,1.7
229,북격렬비도,2019-03,5.4
229,북격렬비도,2019-04,9.2
229,북격렬비도,2019-05,15.3
229,북격렬비도,2019-06,18.6
229,북격렬비도,2019-07,22.7
229,북격렬비도,2019-08,25.4
229,북격렬비도,2019-09,21.5
229,북격렬비도,2019-10,16.7
229,북격렬비도,2019-11,10.8
229,북격렬비도,2019-12,5.2
300,말도,2015-01,2.1
300,말도,2015-02,2.7
300,말도,2015-03,5.1
300,말도,2015-04,10.7
300,말도,2015-05,14.9
300,말도,2015-06,19.6
300,말도,2015-07,22.8
300,말도,2015-08,25.3
300,말도,2015-09,22
300,말도,2015-10,17.3
300,말도,2015-11,12.2
300,말도,2015-12,6
300,말도,2016-01,1.6
300,말도,2016-02,3
300,말도,2016-03,6.2
300,말도,2016-04,10.9
